resc,labelDe,labelEn
http://dbpedia.org/resource/304_Olga,(304) Olga,304 Olga
http://dbpedia.org/resource/974_Lioba,(974) Lioba,974 Lioba
"http://dbpedia.org/resource/Akrotiri,_Crete",Akrotiri (Kreta),Akrotiri
"http://dbpedia.org/resource/Akrotiri,_Crete",Akrotiri (Kreta),Ακρωτήρι
"http://dbpedia.org/resource/Aksu,_Antalya",Aksu (Antalya),Aksu
"http://dbpedia.org/resource/Aksu,_Kazakhstan",Aqsu (Pawlodar),Aksu
"http://dbpedia.org/resource/Aksu,_Kazakhstan",Aqsu (Pawlodar),Ақсу
"http://dbpedia.org/resource/Alto,_Piedmont",Alto (Piemont),Alto
"http://dbpedia.org/resource/Alto,_Piedmont",Alto (Piemont),Comune di Alto
http://dbpedia.org/resource/Anadolu_Airport,Flughafen Eskişehir Anadolu,Eskişehir Hasan Polatkan Airport
http://dbpedia.org/resource/Anadolu_Airport,Flughafen Eskişehir Anadolu,Eskişehir Hasan Polatkan Havalimanı
"http://dbpedia.org/resource/Anville,_Charente",Anville (Charente),Anville
http://dbpedia.org/resource/Baltoro_Glacier,Baltoro-Gletscher,Baltoro Glacier
http://dbpedia.org/resource/Baltoro_Muztagh,Baltoro Muztagh,Baltoro Muztagh
"http://dbpedia.org/resource/Bana,_Niger",Bana (Niger),"Bana, Niger"
http://dbpedia.org/resource/Banatska_Palanka,Banatska Palanka,Banatska Palanka
http://dbpedia.org/resource/Banatska_Palanka,Banatska Palanka,Банатска Паланка
http://dbpedia.org/resource/Bang_Pakong_District,Amphoe Bang Pakong,Bang Pakong
http://dbpedia.org/resource/Bang_Pakong_District,Amphoe Bang Pakong,บางปะกง
"http://dbpedia.org/resource/Barzan,_Charente-Maritime",Barzan (Charente-Maritime),Barzan
http://dbpedia.org/resource/Bataan_National_Park,Bataan-Nationalpark,Bataan National Park
"http://dbpedia.org/resource/Bevern,_Schleswig-Holstein",Bevern (Holstein),Bevern
http://dbpedia.org/resource/Bevern_(Samtgemeinde),Samtgemeinde Bevern,Bevern
"http://dbpedia.org/resource/Boulogne,_Vendée",Boulogne (Vendée),Boulogne
"http://dbpedia.org/resource/Brando,_Haute-Corse",Brando (Korsika),Brando
"http://dbpedia.org/resource/Brody,_Lesser_Poland_Voivodeship",Brody (Kalwaria Zebrzydowska),Brody
